ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_buffer_index,current_ej,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
AR-318,Henry,,,,,,0.13,,0,0.25,0,0.08131183,,5.86,,,,0.826339303,,,8.26
AR-955,Henry,,,,,,0.11,,0,0.12,0,0.07045228,,4.07,,,,0.966183852,,,9.66
AR-957A,Fulton,,,,,,0.41,,0,0.80,1,0.56136618,,36.71,,,,0.900507697,,,9.01
AR-962,Gwinnett,,,,,,0.16,,0,0.32,1,0.213256679,,23.61,,,,0.997950537,,,9.98
AR-ML-200,Fulton,,,,,,0.48,,1,0.87,1,0.587189205,,49.16,,,,0,,,0.00
AR-ML-210,Fulton,,,,,,0.49,,0,0.83,1,0.342778486,,36.50,,,,0.811263588,,,8.11
AR-ML-240,DeKalb,,,,,,0.35,,1,0.65,1,0.393262283,,42.44,,,,0.885509268,,,8.86
AR-ML-300,Fulton,,,,,,0.26,,0,0.51,1,0.323137411,,28.61,,,,0.386216777,,,3.86
AR-ML-420,Gwinnett,,,,,,0.06,,0,0.50,1,0.502970233,,26.29,,,,0.727483506,,,7.27
AR-ML-510,DeKalb,,,,,,0.35,,0,0.57,1,0.272950792,,30.40,,,,0.864191643,,,8.64
AR-ML-610,Clayton,,,,,,0.18,,0,0.25,1,0.282539803,,23.84,,,,0.788268929,,,7.88
AR-ML-800,Fulton,,,,,,0.20,,0,0.32,1,0.280228738,,24.97,,,,0.625771285,,,6.26
AT-244,Fulton,,,,,,0.35,,0,0.44,1,0.488098651,,31.31,,,,0.982595099,,,9.83
AT-303,Fulton,,,,,,0.44,,0,0.56,0,0.370294466,,18.12,,,,0.994503713,,,9.95
AT-306,Fulton,,,,,,0.37,,1,0.64,0,1,,33.91,,,,0.997624486,,,9.98
BA-005C,Barrow,,,,,,0.04,,1,0.07,0,0.052356295,,11.98,,,,0.935084511,,,9.35
BA-005D,Barrow,,,,,,0.17,,0,0.09,0,0.054956146,,4.79,,,,0.927663211,,,9.28
BA-008,Barrow,,,,,,0.12,,0,0.31,0,0.196912262,,7.48,,,,0.948468426,,,9.48
BA-010,Barrow,,,,,,0.18,,1,0.23,0,0.053351397,,16.48,,,,0.998167904,,,9.98
BA-027,Barrow,,,,,,0.17,,1,0.15,0,0.081929487,,15.78,,,,0.995326604,,,9.95
BA-028,Barrow,,,,,,0.14,,1,0.10,0,0.059169727,,14.49,,,,0.996397914,,,9.96
BA-033A,Barrow,,,,,,0.31,,0,0.53,0,0.137627015,,12.93,,,,0.984784354,,,9.85
BA-033B,Barrow,,,,,,0.26,,0,0.47,0,0.074480703,,10.69,,,,0.972766949,,,9.73
BA-040,Barrow,,,,,,0.17,,1,0.20,0,0.030407515,,15.78,,,,0.953421301,,,9.53
CA-007,Carroll,,,,,,0.13,,0,0.11,0,0.026722585,,3.99,,,,0.959538611,,,9.60
CA-011,Carroll,,,,,,0.21,,1,0.30,0,0.026510733,,17.52,,,,0.95657317,,,9.57
CH-010A2,Cherokee,,,,,,0.16,,0,0.18,0,0.044616706,,5.40,,,,0.947117688,,,9.47
CH-020A2,Cherokee,,,,,,0.14,,1,0.09,1,0.052645188,,29.19,,,,0.287778825,,,2.88
CH-020A3,Cherokee,,,,,,0.25,,1,0.41,0,0.074082305,,19.74,,,,0.969335721,,,9.69
CH-030,Cherokee,,,,,,0.22,,1,0.21,0,0.187803935,,18.29,,,,0.996987911,,,9.97
CH-231,Cherokee,,,,,,0.24,,1,0.41,0,0.058971289,,19.58,,,,0.924309771,,,9.24
CH-232,Cherokee,,,,,,0.14,,1,0.15,0,0.049006079,,14.86,,,,0.849178134,,,8.49
CH-233,Cherokee,,,,,,0.14,,1,0.11,0,0.046765015,,14.35,,,,0.916344329,,,9.16
CL-014,Clayton,,,,,,0.29,,0,0.42,1,0.180872705,,26.78,,,,0.943686396,,,9.44
CL-015,Clayton,,,,,,0.23,,0,0.26,1,0.077326318,,22.97,,,,0.847858624,,,8.48
CL-017,Clayton,,,,,,0.20,,0,0.21,1,0.083394831,,21.90,,,,0.962969903,,,9.63
CL-019,Clayton,,,,,,0.20,,0,0.22,1,0.103223295,,22.21,,,,0.930551052,,,9.31
CL-064,Clayton,,,,,,0.17,,0,0.18,1,0.101130496,,21.24,,,,0.944912912,,,9.45
CL-101,Clayton,,,,,,0.07,,0,0.11,1,0.029912238,,17.72,,,,0.794494502,,,7.94
CL-AR-180,Clayton,,,,,,0.32,,0,0.46,1,0.368991497,,29.73,,,,0.93800377,,,9.38
CL-AR-181,Clayton,,,,,,0.27,,0,0.49,1,0.479011581,,30.07,,,,0.96745699,,,9.67
CL-AR-247,Clayton,,,,,,0.20,,1,0.33,1,0.070037941,,32.90,,,,0.930178448,,,9.30
CO-329,Cobb,,,,,,0.25,,1,0.37,0,0.032306132,,18.98,,,,0.914838831,,,9.15
CO-367,Cobb,,,,,,0.18,,0,0.26,1,0.055725996,,21.77,,,,0.870060949,,,8.70
CO-380,Cobb,,,,,,0.24,,0,0.48,1,0.357108406,,28.21,,,,0.986352435,,,9.86
CO-450B,Cobb,,,,,,0.19,,0,0.90,0,0.22451527,,15.02,,,,0.985777945,,,9.86
CO-AR-308,Cobb,,,,,,0.30,,0,1.00,0,0.463445789,,20.61,,,,0.998198957,,,9.98
CW-063,Coweta,,,,,,0.20,,0,0.27,0,0.017733634,,6.93,,,,0.725371662,,,7.25
CW-076,Coweta,,,,,,0.10,,1,0.03,1,0.010513617,,27.51,,,,0.962038391,,,9.62
DK-030,DeKalb,,,,,,0.29,,0,0.64,1,0.099202699,,28.18,,,,0.978278856,,,9.78
DK-330,DeKalb,,,,,,0.16,,0,0.04,1,0.029775731,,18.88,,,,0.970919384,,,9.71
DK-AR-207,DeKalb,,,,,,0.20,,0,0.31,0,0.237420563,,9.48,,,,1,,,10.00
DK-AR-241,DeKalb,,,,,,0.21,,0,0.29,1,0.343111897,,25.42,,,,0.998167904,,,9.98
DK-AR-242,DeKalb,,,,,,0.36,,0,0.44,1,0.226599016,,28.84,,,,0.977052215,,,9.77
DO-019,Douglas,,,,,,0.17,,1,0.27,1,0.039074231,,31.57,,,,0.90161043,,,9.02
DO-022,Douglas,,,,,,0.22,,0,0.09,1,0.075187653,,21.00,,,,0.941590261,,,9.42
DO-220A,Douglas,,,,,,0.16,,0,0.06,1,0.047601996,,19.32,,,,0.902867735,,,9.03
DO-252A,Douglas,,,,,,0.17,,0,0.16,0,0.028812862,,5.37,,,,0.950859504,,,9.51
DO-252B,Douglas,,,,,,0.16,,0,0.17,1,0.02572235,,20.08,,,,0.938438517,,,9.38
FA-085,Fayette,,,,,,0.23,,1,0.25,0,0.028839546,,17.42,,,,0.979536475,,,9.80
FN-067A,Fulton,,,,,,0.21,,1,0.26,0,0.134348619,,18.18,,,,0.915413132,,,9.15
FN-222,Fulton,,,,,,0.18,,1,0.21,0,0.098586715,,16.60,,,,0.941978448,,,9.42
FN-225,Fulton,,,,,,0.31,,0,0.44,0,0.226523526,,12.84,,,,0.978232234,,,9.78
FN-233A,Fulton,,,,,,0.26,,0,0.36,0,0.132017461,,9.99,,,,0.854115614,,,8.54
FN-264,Fulton,,,,,,0.37,,1,0.62,0,0.157565303,,25.29,,,,0.942475338,,,9.42
FN-267,Fulton,,,,,,0.30,,0,0.46,0,0.346692303,,14.00,,,,0.984877474,,,9.85
FN-269,Fulton,,,,,,0.41,,1,0.64,1,0.188038551,,41.55,,,,0.95814125,,,9.58
FN-278,Fulton,,,,,,0.27,,0,0.31,0,0.304921047,,11.57,,,,0.986228275,,,9.86
FN-301,Fulton,,,,,,0.27,,0,0.31,0,0.20906315,,10.56,,,,0.964895193,,,9.65
FS-289,Fulton,,,,,,0.32,,0,0.53,1,0.120822879,,28.04,,,,0.961743324,,,9.62
FS-AR-182,Fulton,,,,,,0.19,,1,0.18,1,0.137770222,,31.88,,,,0.998198957,,,9.98
FS-AR-183,Fulton,,,,,,0.22,,1,0.25,1,0.167843653,,33.68,,,,0.996382388,,,9.96
FS-AR-184,Fulton,,,,,,0.28,,0,0.15,1,0.202727939,,24.21,,,,0.9981058,,,9.98
FT-001A,Forsyth,,,,,,0.16,,1,0.21,0,0.100266369,,16.37,,,,0.975732516,,,9.76
